date,description,amount,currency,type
2025-04-01,Domino's Pizza,-309.22,USD,debit
2025-04-01,Water Bill,-262.02,USD,debit
2025-04-01,Spotify Refund,-118.02,USD,debit
2025-04-02,Chevron Gas,-46.83,USD,debit
2025-04-02,Flight Ticket,-35.39,USD,debit
2025-04-03,Parking Fine,-72.98,USD,debit
2025-04-04,ATM Withdrawal,-278.55,USD,debit
2025-04-04,Amazon Refund,-103.38,USD,debit
2025-04-05,Chevron Gas,-225.84,USD,debit
2025-04-05,Home Improvement,-51.54,USD,debit
2025-04-06,Lottery,-91.65,USD,debit
2025-04-07,PayPal Transfer,-80.88,USD,debit
2025-04-07,IKEA,-12.18,USD,debit
2025-04-08,Shell Gas Station,-199.78,USD,debit
2025-04-09,Hardware Depot,-295.67,USD,debit
2025-04-09,Electric Bill,-173.31,USD,debit
2025-04-12,Insurance Premium,-63.2,USD,debit
2025-04-12,Grocery Store,-148.64,USD,debit
2025-04-12,Amazon Marketplace,-150.07,USD,debit
2025-04-12,Amazon Marketplace,-150.07,USD,debit
2025-04-13,Movie Tickets REFUND,44.28,USD,credit
2025-04-13,Pharmacy Express,-285.52,USD,debit
2025-04-14,Chevron Gas,-206.56,USD,debit
2025-04-14,Best Buy,-186.7,USD,debit
2025-04-15,Shell Gas Station,-317.37,USD,debit
2025-04-15,Hardware Depot,-36.09,USD,debit
2025-04-17,Fish Market,-247.81,USD,debit
2025-04-17,Liquor Store,-327.43,USD,debit
2025-04-17,Fish Market,-98.13,USD,debit
2025-04-20,Insurance Premium,-21.18,USD,debit
2025-04-22,Pharmacy Express,-35.9,USD,debit
2025-04-22,Pharmacy Express,-35.9,USD,debit
2025-04-22,Thrift Store,-128.49,USD,debit
2025-04-23,Farmers Market,-309.89,USD,debit
2025-04-23,Pharmacy Express,-106.86,USD,debit
2025-04-24,Water Bill,-204.33,USD,debit
2025-04-27,Dental Clinic,-310.3,USD,debit
2025-04-28,Toy Shop,-295.74,USD,debit
2025-04-28,Book Store,-228.78,USD,debit
2025-04-28,McDonald's REFUND,63.75,USD,credit
2025-04-29,Mobile Recharge,-24.62,USD,debit
2025-04-30,Home Improvement,-49.03,USD,debit
2025-04-30,Target,-186.57,USD,debit
2025-04-30,Charity Donation,-313.44,USD,debit
2025-05-01,Electronics Hub,-98.68,USD,debit
2025-05-01,Grocery Store,-250.94,USD,debit
2025-05-02,Toy Shop,-284.02,USD,debit
2025-05-02,Car Wash REFUND,8.51,USD,credit
2025-05-02,Target,-307.71,USD,debit
2025-05-04,Notion Subscription,-8.76,USD,debit
2025-05-04,Audible Subscription,-15.46,USD,debit
2025-05-05,Lyft Ride,-212.59,USD,debit
2025-05-05,Movie Tickets,-132.59,USD,debit
2025-05-05,Internet Payment,-103.82,USD,debit
2025-05-05,ExpressVPN Subscription,-14.03,USD,debit
2025-05-06,Apple Store,-247.66,USD,debit
2025-05-06,Parking Fine REFUND,84.96,USD,credit
2025-05-06,Thrift Store,-43.74,USD,debit
2025-05-07,Amazon Refund,-5.11,USD,debit
2025-05-07,Pet Store,-343.03,USD,debit
2025-05-07,Slack Subscription,-11.15,USD,debit
2025-05-08,Duolingo Plus Subscription,-7.74,USD,debit
2025-05-08,Apple Store,-235.75,USD,debit
2025-05-08,Chevron Gas,-309.63,USD,debit
2025-05-09,Twitch Turbo Subscription,-9.8,USD,debit
2025-05-09,MEGA Subscription,-4.65,USD,debit
2025-05-09,Target,-264.39,USD,debit
2025-05-09,Subway,-269.29,USD,debit
2025-05-09,KFC,-245.86,USD,debit
2025-05-10,Venmo Payment,-202.51,USD,debit
2025-05-10,Proton VPN Subscription,-7.35,USD,debit
2025-05-10,Charity Donation,-132.59,USD,debit
2025-05-10,Lyft Ride,-182.11,USD,debit
