date,description,amount,currency,type
2024-10-02,Book Store REFUND,114.78,USD,credit
2024-10-02,Lyft Ride,-320.73,USD,debit
2024-10-02,Medical Center,-109.52,USD,debit
2024-10-02,Lyft Ride,-320.73,USD,debit
2024-10-04,Shoe Outlet,-333.06,USD,debit
2024-10-04,ATM Withdrawal,-15.52,USD,debit
2024-10-04,Shoe Outlet,-8.3,USD,debit
2024-10-05,Convenience Store,-26.37,USD,debit
2024-10-06,PayPal Transfer REFUND,15.08,USD,credit
2024-10-06,Electric Bill,-263.5,USD,debit
2024-10-06,Best Buy,-158.05,USD,debit
2024-10-07,Parking Fine,-37.96,USD,debit
2024-10-07,Amazon Marketplace,-334.98,USD,debit
2024-10-07,Lyft Ride,-141.96,USD,debit
2024-10-08,Cinema City,-333.05,USD,debit
2024-10-08,Tax Refund,-189.81,USD,debit
2024-10-08,ATM Withdrawal,-87.05,USD,debit
2024-10-09,IKEA,-236.96,USD,debit
2024-10-11,McDonald's,-135.96,USD,debit
2024-10-11,Electric Bill,-61.01,USD,debit
2024-10-12,Apple Store,-278.88,USD,debit
2024-10-12,PayPal Transfer,-276.99,USD,debit
2024-10-12,Movie Tickets,-194.57,USD,debit
2024-10-14,Tax Refund,-282.43,USD,debit
2024-10-14,Flight Ticket REFUND,10.51,USD,credit
2024-10-16,Home Improvement,-252.47,USD,debit
2024-10-17,Target,-320.36,USD,debit
2024-10-17,Amazon Marketplace,-85.35,USD,debit
2024-10-18,Shell Gas Station,-168.03,USD,debit
2024-10-18,Venmo Payment,-273.59,USD,debit
2024-10-18,Movie Tickets,-106.69,USD,debit
2024-10-20,Venmo Payment,-25.39,USD,debit
2024-10-21,Shoe Outlet,-13.41,USD,debit
2024-10-21,Spotify Refund,-31.87,USD,debit
2024-10-21,IKEA,-22.11,USD,debit
2024-10-22,Hardware Depot,-130.55,USD,debit
2024-10-23,Charity Donation,-229.04,USD,debit
2024-10-23,ATM Withdrawal,-245.74,USD,debit
2024-10-23,Walmart,-348.28,USD,debit
2024-10-25,Amazon Marketplace,-31.84,USD,debit
2024-10-25,Spotify Refund REFUND,24.46,USD,credit
2024-10-25,Tax Refund,-253.12,USD,debit
2024-10-26,KFC,-224.07,USD,debit
2024-10-26,KFC,-224.07,USD,debit
2024-10-26,Liquor Store,-221.92,USD,debit
2024-10-26,IKEA,-9.32,USD,debit
2024-10-27,Home Improvement,-156.75,USD,debit
2024-10-27,Lottery,-79.11,USD,debit
2024-10-27,Local Diner,-226.76,USD,debit
2024-10-29,Lyft Ride,-53.72,USD,debit
2024-10-30,Credit Card Payment,-87.03,USD,debit
2024-10-30,Toy Shop,-241.16,USD,debit
2024-10-30,Amazon Marketplace,-41.58,USD,debit
2024-10-31,Gym Day Pass,-283.82,USD,debit
2024-11-01,Hardware Depot,-13.29,USD,debit
2024-11-02,Toy Shop,-311.33,USD,debit
2024-11-03,Midjourney Subscription,-10.63,USD,debit
2024-11-04,Lottery,-299.5,USD,debit
2024-11-04,Flight Ticket,-15.21,USD,debit
2024-11-06,Peloton Subscription,-13.12,USD,debit
2024-11-06,Xbox Game Pass Subscription,-14.81,USD,debit
2024-11-07,Grocery Store,-275.76,USD,debit
2024-11-07,Burger King,-234.32,USD,debit
2024-11-07,KFC,-45.02,USD,debit
2024-11-08,LinkedIn Learning Subscription,-32.47,USD,debit
2024-11-08,Linode Subscription,-10.48,USD,debit
2024-11-08,Dental Clinic,-253.43,USD,debit
2024-11-08,Car Wash,-45.54,USD,debit
2024-11-09,Fish Market,-38.67,USD,debit
2024-11-10,Render Subscription,-11.82,USD,debit
2024-11-10,Credit Card Payment,-184.16,USD,debit
2024-11-10,Mobile Recharge,-77.27,USD,debit
2024-11-10,Butcher Shop,-115.6,USD,debit
2024-11-11,Electric Bill,-149.59,USD,debit
2024-11-11,Venmo Payment,-151.56,USD,debit
2024-11-12,WSJ Subscription,-10.59,USD,debit
2024-11-12,PayPal Transfer,-256.03,USD,debit
2024-11-13,Insurance Premium,-16.2,USD,debit
2024-11-13,Tax Refund,-57.68,USD,debit
2024-11-13,Domino's Pizza,-46.0,USD,debit
2024-11-14,Netflix Subscription,-16.5,USD,debit
2024-11-14,Surfshark Subscription,-3.61,USD,debit
2024-11-15,Parking Fine,-184.88,USD,debit
2024-11-15,McDonald's,-74.06,USD,debit
2024-11-15,Paramount+ Subscription,-9.63,USD,debit
2024-11-15,Car Wash,-246.15,USD,debit
2024-11-16,Spotify Refund REFUND,16.84,USD,credit
2024-11-16,Water Bill,-64.93,USD,debit
2024-11-16,The Economist Subscription,-15.44,USD,debit
2024-11-17,Shell Gas Station,-50.75,USD,debit
2024-11-17,Farmers Market,-149.63,USD,debit
2024-11-18,Subway,-311.82,USD,debit
2024-11-18,Garden Center,-174.35,USD,debit
2024-11-19,Parking Fine,-292.87,USD,debit
2024-11-19,Photoshop Subscription,-21.41,USD,debit
2024-11-21,Slack Subscription,-12.4,USD,debit
2024-11-21,Train Ticket,-128.09,USD,debit
2024-11-21,Lyft Ride,-115.59,USD,debit
