date,description,amount,currency,type
2024-10-01,Pharmacy Express,-37.5,USD,debit
2024-10-01,Toy Shop,-69.23,USD,debit
2024-10-05,Credit Card Payment,-266.42,USD,debit
2024-10-06,Convenience Store,-173.37,USD,debit
2024-10-06,McDonald's,-45.74,USD,debit
2024-10-06,Liquor Store,-140.13,USD,debit
2024-10-07,Shell Gas Station,-211.11,USD,debit
2024-10-07,Electronics Hub,-155.15,USD,debit
2024-10-07,Electronics Hub,-198.13,USD,debit
2024-10-13,Electronics Hub,-94.67,USD,debit
2024-10-13,Pharmacy Express,-342.02,USD,debit
2024-10-14,Government Fees,-140.51,USD,debit
2024-10-14,Electronics Hub,-326.61,USD,debit
2024-10-15,Car Wash,-179.94,USD,debit
2024-10-15,Fish Market,-326.98,USD,debit
2024-10-15,IKEA,-92.58,USD,debit
2024-10-16,Hardware Depot,-230.47,USD,debit
2024-10-17,Internet Payment,-129.82,USD,debit
2024-10-17,Garden Center,-239.56,USD,debit
2024-10-17,Tax Refund,-308.21,USD,debit
2024-10-18,Thrift Store,-77.29,USD,debit
2024-10-19,Gas Station,-76.83,USD,debit
2024-10-19,Subway REFUND,119.72,USD,credit
2024-10-19,McDonald's,-340.25,USD,debit
2024-10-21,Venmo Payment,-34.45,USD,debit
2024-10-21,Garden Center,-84.58,USD,debit
2024-10-21,Target,-232.83,USD,debit
2024-10-22,Farmers Market REFUND,66.19,USD,credit
2024-10-22,Water Bill,-40.01,USD,debit
2024-10-23,Shoe Outlet,-33.67,USD,debit
2024-10-23,Book Store,-275.84,USD,debit
2024-10-24,Burger King,-277.6,USD,debit
2024-10-24,Subway,-66.59,USD,debit
2024-10-24,Uber Trip,-28.28,USD,debit
2024-10-26,Home Improvement,-177.59,USD,debit
2024-10-26,Shoe Outlet,-62.66,USD,debit
2024-10-26,Domino's Pizza,-195.03,USD,debit
2024-10-28,Electronics Hub,-258.56,USD,debit
2024-10-28,Toy Shop REFUND,100.07,USD,credit
2024-10-31,Shell Gas Station,-271.21,USD,debit
2024-10-31,Walmart,-320.55,USD,debit
2024-10-31,Pet Store,-331.46,USD,debit
2024-10-31,MEGA Subscription,-4.62,USD,debit
2024-11-01,Hotel Booking REFUND,71.42,USD,credit
2024-11-03,Xbox Game Pass Subscription,-15.82,USD,debit
2024-11-05,Butcher Shop,-114.89,USD,debit
2024-11-05,Gym Day Pass,-116.17,USD,debit
2024-11-06,Subway,-194.27,USD,debit
2024-11-07,Amazon Marketplace,-127.55,USD,debit
2024-11-09,Udemy Membership Subscription,-20.4,USD,debit
2024-11-11,QuickBooks Subscription,-24.41,USD,debit
2024-11-11,Electric Bill,-74.67,USD,debit
2024-11-11,Home Improvement,-47.25,USD,debit
2024-11-11,Home Improvement,-47.25,USD,debit
2024-11-12,Vercel Subscription,-21.98,USD,debit
2024-11-12,Charity Donation,-191.52,USD,debit
2024-11-13,ExpressVPN Subscription,-13.29,USD,debit
2024-11-13,Charity Donation,-40.16,USD,debit
2024-11-13,Grocery Store,-166.33,USD,debit
2024-11-13,Best Buy,-136.26,USD,debit
2024-11-14,Shell Gas Station REFUND,7.39,USD,credit
2024-11-14,PayPal Transfer,-127.45,USD,debit
2024-11-15,Government Fees,-184.23,USD,debit
2024-11-15,Subway,-204.92,USD,debit
2024-11-15,Asana Subscription,-13.11,USD,debit
2024-11-15,Best Buy,-24.28,USD,debit
2024-11-15,Audible Subscription,-16.68,USD,debit
2024-11-16,The Economist Subscription,-17.01,USD,debit
2024-11-16,Electronics Hub,-217.01,USD,debit
2024-11-17,Chevron Gas,-107.22,USD,debit
2024-11-17,Apple Store,-73.81,USD,debit
2024-11-17,Apple Store,-73.81,USD,debit
2024-11-17,Chevron Gas,-123.83,USD,debit
2024-11-18,YouTube Music Subscription,-13.52,USD,debit
2024-11-18,Domino's Pizza,-35.62,USD,debit
2024-11-19,Babbel Subscription,-6.9,USD,debit
2024-11-19,Target,-52.54,USD,debit
2024-11-20,Convenience Store,-183.79,USD,debit
2024-11-20,Financial Times Subscription,-17.51,USD,debit
2024-11-20,GitLab Subscription,-4.11,USD,debit
2024-11-21,Cinema City,-313.04,USD,debit
2024-11-21,Chevron Gas,-330.19,USD,debit
2024-11-21,Netlify Subscription,-20.98,USD,debit
2024-11-21,Walmart+ Subscription,-13.99,USD,debit
2024-11-21,Lyft Pink Subscription,-9.85,USD,debit
2024-11-22,Grammarly Subscription,-30.88,USD,debit
2024-11-22,Garden Center,-75.63,USD,debit
2024-11-22,Credit Card Payment,-83.42,USD,debit
2024-11-23,Target,-61.81,USD,debit
2024-11-23,Gym Day Pass,-162.72,USD,debit
2024-11-24,Burger King,-42.25,USD,debit
2024-11-24,Water Bill,-270.65,USD,debit
2024-11-24,Lottery,-275.83,USD,debit
2024-11-25,Charity Donation,-299.86,USD,debit
2024-11-25,Amazon Marketplace,-324.4,USD,debit
2024-11-26,Domino's Pizza,-102.62,USD,debit
2024-11-27,McDonald's,-94.06,USD,debit
2024-11-27,Venmo Payment,-16.97,USD,debit
2024-11-27,Target,-44.31,USD,debit
2024-11-28,Garden Center,-141.48,USD,debit
2024-11-28,KFC,-117.38,USD,debit
2024-11-28,Cinema City,-252.2,USD,debit
2024-12-02,Electric Bill,-129.71,USD,debit
2024-12-03,Mobile Recharge,-200.0,USD,debit
2024-12-04,Burger King,-45.34,USD,debit
2024-12-04,MEGA Subscription,-5.76,USD,debit
2024-12-05,IKEA,-236.2,USD,debit
2024-12-05,KFC,-16.9,USD,debit
2024-12-06,Parking Fine,-87.62,USD,debit
2024-12-07,Credit Card Payment REFUND,48.47,USD,credit
2024-12-07,Xbox Game Pass Subscription,-15.32,USD,debit
2024-12-07,Amazon Marketplace,-257.13,USD,debit
2024-12-08,ExpressVPN Subscription,-12.88,USD,debit
2024-12-09,Book Store,-327.38,USD,debit
2024-12-09,Spotify Refund,-62.89,USD,debit
2024-12-09,QuickBooks Subscription,-25.15,USD,debit
2024-12-10,Hardware Depot REFUND,22.72,USD,credit
2024-12-10,Toy Shop,-281.9,USD,debit
2024-12-11,Vercel Subscription,-21.07,USD,debit
2024-12-11,Pet Store,-173.19,USD,debit
2024-12-11,ATM Withdrawal,-326.89,USD,debit
2024-12-12,Udemy Membership Subscription,-19.38,USD,debit
2024-12-12,Internet Payment,-54.82,USD,debit
2024-12-12,Asana Subscription,-14.26,USD,debit
2024-12-13,The Economist Subscription,-17.15,USD,debit
2024-12-13,Local Diner,-11.38,USD,debit
2024-12-13,Movie Tickets,-94.67,USD,debit
2024-12-13,Hotel Booking,-289.74,USD,debit
2024-12-15,GitLab Subscription,-4.04,USD,debit
2024-12-17,Babbel Subscription,-7.12,USD,debit
2024-12-17,YouTube Music Subscription,-12.19,USD,debit
2024-12-17,Netlify Subscription,-19.93,USD,debit
2024-12-18,Credit Card Payment,-127.06,USD,debit
2024-12-18,IKEA,-345.11,USD,debit
2024-12-18,Audible Subscription,-16.5,USD,debit
2024-12-19,Dental Clinic,-346.77,USD,debit
2024-12-20,Walmart+ Subscription,-12.52,USD,debit
2024-12-20,Gas Station,-167.9,USD,debit
2024-12-20,Lottery,-220.67,USD,debit
2024-12-20,Grammarly Subscription,-30.9,USD,debit
2024-12-21,Liquor Store,-282.17,USD,debit
2024-12-22,Domino's Pizza,-40.35,USD,debit
2024-12-22,Financial Times Subscription,-15.61,USD,debit
2024-12-23,Chevron Gas,-11.75,USD,debit
2024-12-23,Lyft Pink Subscription,-10.42,USD,debit
2024-12-23,Credit Card Payment,-59.22,USD,debit
2024-12-24,Convenience Store,-37.97,USD,debit
2024-12-24,Car Wash,-131.34,USD,debit
2024-12-24,Target,-204.64,USD,debit
2024-12-25,Parking Fine REFUND,112.64,USD,credit
2024-12-25,Car Wash REFUND,148.04,USD,credit
2024-12-27,Thrift Store,-287.42,USD,debit
2024-12-27,Bakery REFUND,83.05,USD,credit
2024-12-28,KFC,-221.34,USD,debit
2024-12-28,Spotify Refund,-104.06,USD,debit
2024-12-29,Amazon Marketplace,-218.74,USD,debit
2024-12-30,Insurance Premium,-139.6,USD,debit
2024-12-30,Car Wash,-340.16,USD,debit
2024-12-31,Government Fees,-30.69,USD,debit
2024-12-31,Apple Store REFUND,79.43,USD,credit
2025-01-01,Parking Fine,-314.81,USD,debit
2025-01-01,Gas Station,-305.02,USD,debit
2025-01-02,Electric Bill REFUND,29.62,USD,credit
2025-01-02,Convenience Store,-303.72,USD,debit
2025-01-03,Convenience Store,-156.0,USD,debit
2025-01-03,Local Diner,-70.03,USD,debit
2025-01-03,Train Ticket,-234.78,USD,debit
2025-01-04,Domino's Pizza,-202.11,USD,debit
2025-01-04,PayPal Transfer REFUND,54.1,USD,credit
2025-01-04,MEGA Subscription,-5.18,USD,debit
2025-01-06,QuickBooks Subscription,-26.18,USD,debit
2025-01-06,Subway,-153.04,USD,debit
2025-01-06,ExpressVPN Subscription,-14.52,USD,debit
2025-01-07,Dental Clinic,-114.7,USD,debit
2025-01-07,Udemy Membership Subscription,-19.9,USD,debit
2025-01-07,Xbox Game Pass Subscription,-15.98,USD,debit
2025-01-09,Mobile Recharge,-342.01,USD,debit
2025-01-09,Hotel Booking,-289.79,USD,debit
2025-01-09,Car Wash,-113.74,USD,debit
2025-01-10,Vercel Subscription,-22.03,USD,debit
2025-01-10,Movie Tickets,-271.31,USD,debit
2025-01-11,Cloud Backup Pro Subscription,-23.82,USD,debit
2025-01-11,Water Bill,-93.33,USD,debit
2025-01-11,Water Bill,-196.26,USD,debit
2025-01-11,Lyft Ride REFUND,26.76,USD,credit
2025-01-12,Babbel Subscription,-6.8,USD,debit
2025-01-13,Amazon Refund,-304.0,USD,debit
2025-01-13,Asana Subscription,-13.24,USD,debit
2025-01-13,Audible Subscription,-17.98,USD,debit
2025-01-14,YouTube Music Subscription,-12.94,USD,debit
2025-01-14,Charity Donation,-217.64,USD,debit
2025-01-14,Pharmacy Express,-156.09,USD,debit
2025-01-14,Book Store,-20.31,USD,debit
2025-01-14,The Economist Subscription,-15.51,USD,debit
2025-01-15,ATM Withdrawal,-253.73,USD,debit
2025-01-16,IKEA,-336.62,USD,debit
2025-01-16,Target REFUND,70.1,USD,credit
2025-01-16,GitLab Subscription,-4.76,USD,debit
2025-01-17,Spotify Refund,-133.88,USD,debit
2025-01-17,KFC,-8.12,USD,debit
2025-01-17,McDonald's,-279.97,USD,debit
2025-01-18,Bakery,-171.02,USD,debit
2025-01-18,Butcher Shop REFUND,106.12,USD,credit
2025-01-18,Flight Ticket,-45.17,USD,debit
2025-01-19,Amazon Refund,-303.85,USD,debit
2025-01-19,Walmart+ Subscription,-12.51,USD,debit
2025-01-19,Netlify Subscription,-19.79,USD,debit
2025-01-19,Financial Times Subscription,-16.1,USD,debit
2025-01-20,Grammarly Subscription,-30.56,USD,debit
2025-01-20,Chevron Gas,-304.34,USD,debit
2025-01-21,Lyft Ride,-26.63,USD,debit
2025-01-21,Uber Trip,-269.72,USD,debit
2025-01-22,Amazon Marketplace,-8.92,USD,debit
2025-01-22,Water Bill,-99.75,USD,debit
2025-01-22,Lyft Pink Subscription,-11.37,USD,debit
2025-01-23,Charity Donation,-242.73,USD,debit
2025-01-26,Shoe Outlet,-327.02,USD,debit
2025-01-28,Lyft Ride,-40.41,USD,debit
2025-01-28,Local Diner,-254.68,USD,debit
2025-01-28,MEGA Subscription,-5.07,USD,debit
2025-01-29,Insurance Premium,-264.22,USD,debit
2025-01-29,Mobile Recharge,-16.73,USD,debit
2025-01-29,Hardware Depot,-50.49,USD,debit
2025-01-30,Burger King,-214.17,USD,debit
2025-01-31,Insurance Premium,-37.15,USD,debit
2025-02-01,Internet Payment,-264.56,USD,debit
2025-02-01,Flight Ticket,-221.22,USD,debit
2025-02-01,Hotel Booking,-29.77,USD,debit
2025-02-01,Xbox Game Pass Subscription,-15.94,USD,debit
2025-02-02,Hotel Booking REFUND,75.79,USD,credit
2025-02-02,Charity Donation,-85.26,USD,debit
2025-02-04,Water Bill,-331.99,USD,debit
2025-02-04,Butcher Shop,-160.69,USD,debit
2025-02-04,ATM Withdrawal,-213.05,USD,debit
2025-02-05,Toy Shop,-21.31,USD,debit
2025-02-05,Credit Card Payment,-176.13,USD,debit
2025-02-05,Insurance Premium REFUND,40.26,USD,credit
2025-02-06,QuickBooks Subscription,-24.44,USD,debit
2025-02-06,Subway REFUND,28.05,USD,credit
2025-02-07,Car Wash,-118.46,USD,debit
2025-02-07,KFC,-104.41,USD,debit
2025-02-08,Hotel Booking,-11.33,USD,debit
2025-02-08,Grocery Store,-283.47,USD,debit
2025-02-08,Charity Donation,-212.02,USD,debit
2025-02-09,Amazon Marketplace,-330.74,USD,debit
2025-02-09,ExpressVPN Subscription,-13.01,USD,debit
2025-02-10,Water Bill,-170.82,USD,debit
2025-02-10,The Economist Subscription,-17.19,USD,debit
2025-02-10,Vercel Subscription,-19.31,USD,debit
2025-02-10,Apple Store,-86.49,USD,debit
2025-02-12,KFC,-332.71,USD,debit
2025-02-12,Shell Gas Station,-281.99,USD,debit
2025-02-13,Gas Station,-296.71,USD,debit
2025-02-13,Walmart,-316.87,USD,debit
2025-02-13,Walmart+ Subscription,-13.2,USD,debit
2025-02-13,Asana Subscription,-13.15,USD,debit
2025-02-14,Toy Shop,-112.51,USD,debit
2025-02-15,Target REFUND,126.17,USD,credit
2025-02-15,YouTube Music Subscription,-13.89,USD,debit
2025-02-15,Electric Bill,-30.1,USD,debit
2025-02-16,GitLab Subscription,-4.23,USD,debit
2025-02-16,Audible Subscription,-16.65,USD,debit
2025-02-16,Uber Trip,-22.67,USD,debit
2025-02-16,Insurance Premium,-24.53,USD,debit
2025-02-16,Netlify Subscription,-18.8,USD,debit
2025-02-17,Financial Times Subscription,-15.37,USD,debit
2025-02-17,Babbel Subscription,-7.93,USD,debit
2025-02-17,Shoe Outlet REFUND,93.87,USD,credit
2025-02-17,Car Wash,-127.29,USD,debit
2025-02-18,Venmo Payment,-251.36,USD,debit
2025-02-19,Flight Ticket REFUND,117.62,USD,credit
2025-02-19,Starbucks,-243.27,USD,debit
2025-02-19,Lyft Pink Subscription,-9.47,USD,debit
2025-02-19,Parking Fine,-243.16,USD,debit
2025-02-20,IKEA,-98.23,USD,debit
2025-02-20,Farmers Market,-11.97,USD,debit
2025-02-22,Liquor Store,-127.64,USD,debit
2025-02-23,Grammarly Subscription,-28.71,USD,debit
2025-02-24,Car Wash,-134.55,USD,debit
2025-02-25,Movie Tickets,-315.14,USD,debit
2025-02-25,Domino's Pizza,-292.39,USD,debit
2025-02-26,Apple Store,-42.57,USD,debit
2025-02-26,McDonald's,-323.66,USD,debit
2025-02-26,Grocery Store,-254.36,USD,debit
2025-02-27,Target,-89.41,USD,debit
2025-02-27,Water Bill,-201.65,USD,debit
2025-02-27,Burger King,-304.48,USD,debit
2025-02-28,Gas Station,-317.43,USD,debit
