date,description,amount,currency,type
2024-10-01,Lottery,-76.53,USD,debit
2024-10-01,Walmart,-294.69,USD,debit
2024-10-01,Mobile Recharge,-121.06,USD,debit
2024-10-03,McDonald's,-239.29,USD,debit
2024-10-04,Uber Trip,-75.17,USD,debit
2024-10-04,Water Bill,-57.62,USD,debit
2024-10-04,Spotify Refund,-33.42,USD,debit
2024-10-05,Grocery Store,-18.81,USD,debit
2024-10-05,Butcher Shop,-51.2,USD,debit
2024-10-05,Hotel Booking,-214.91,USD,debit
2024-10-06,Pharmacy Express,-87.67,USD,debit
2024-10-07,Amazon Marketplace,-302.26,USD,debit
2024-10-07,Liquor Store,-230.29,USD,debit
2024-10-07,Pet Store,-67.15,USD,debit
2024-10-12,Movie Tickets,-225.67,USD,debit
2024-10-12,Apple Store,-109.89,USD,debit
2024-10-12,Venmo Payment,-186.33,USD,debit
2024-10-14,Gym Day Pass,-8.94,USD,debit
2024-10-15,PayPal Transfer,-207.68,USD,debit
2024-10-16,Book Store,-152.03,USD,debit
2024-10-16,PayPal Transfer,-297.62,USD,debit
2024-10-16,Government Fees,-320.68,USD,debit
2024-10-17,Parking Fine,-175.22,USD,debit
2024-10-17,Parking Fine,-175.22,USD,debit
2024-10-18,Walmart,-26.45,USD,debit
2024-10-18,Home Improvement,-262.83,USD,debit
2024-10-19,Spotify Refund,-139.51,USD,debit
2024-10-19,Government Fees,-317.44,USD,debit
2024-10-19,Tax Refund,-162.12,USD,debit
2024-10-20,ATM Withdrawal,-300.05,USD,debit
2024-10-20,Home Improvement,-31.39,USD,debit
2024-10-20,Dental Clinic,-200.52,USD,debit
2024-10-21,Electric Bill,-212.65,USD,debit
2024-10-21,Lyft Ride,-25.18,USD,debit
2024-10-22,Gas Station,-198.34,USD,debit
2024-10-24,Local Diner,-282.2,USD,debit
2024-10-24,Farmers Market,-48.49,USD,debit
2024-10-24,Government Fees,-37.59,USD,debit
2024-10-25,Credit Card Payment,-257.85,USD,debit
2024-10-25,Internet Payment,-134.84,USD,debit
2024-10-27,Fish Market,-150.7,USD,debit
2024-10-28,Fish Market,-143.44,USD,debit
2024-10-28,IKEA,-246.24,USD,debit
2024-10-28,Fish Market,-143.44,USD,debit
2024-10-29,Lottery REFUND,135.52,USD,credit
2024-10-29,Credit Card Payment,-215.23,USD,debit
2024-10-30,Dental Clinic,-43.03,USD,debit
2024-10-31,Chegg Subscription,-15.89,USD,debit
2024-10-31,Mobile Recharge REFUND,104.92,USD,credit
2024-11-01,Domino's Pizza,-274.49,USD,debit
2024-11-01,Walmart,-71.95,USD,debit
2024-11-02,Spotify Refund,-58.69,USD,debit
2024-11-02,Starbucks,-129.61,USD,debit
2024-11-03,Pet Store,-224.78,USD,debit
2024-11-04,Convenience Store REFUND,48.57,USD,credit
2024-11-05,Credit Card Payment,-12.67,USD,debit
2024-11-05,Shoe Outlet REFUND,102.89,USD,credit
2024-11-05,Walmart,-181.27,USD,debit
2024-11-05,Prime Video Subscription,-14.88,USD,debit
2024-11-06,Movie Tickets,-9.9,USD,debit
2024-11-06,Spotify Refund,-103.94,USD,debit
2024-11-07,Washington Post Subscription,-7.51,USD,debit
2024-11-07,Government Fees,-290.61,USD,debit
2024-11-07,Cinema City,-330.45,USD,debit
2024-11-08,DAZN Subscription,-20.23,USD,debit
2024-11-08,Walmart,-51.39,USD,debit
2024-11-09,Target,-340.55,USD,debit
2024-11-09,Duolingo Plus Subscription,-7.39,USD,debit
2024-11-10,Local Diner,-17.43,USD,debit
2024-11-10,Train Ticket,-269.84,USD,debit
2024-11-10,Domino's Pizza,-156.27,USD,debit
2024-11-12,Apple TV+ Subscription,-7.46,USD,debit
2024-11-13,Electric Bill,-202.62,USD,debit
2024-11-14,NYTimes Subscription,-7.85,USD,debit
2024-11-15,Max Subscription,-13.33,USD,debit
2024-11-15,ESPN+ Subscription,-10.71,USD,debit
2024-11-15,Venmo Payment,-73.75,USD,debit
2024-11-15,GitLab Subscription,-3.36,USD,debit
2024-11-15,Insurance Premium,-83.05,USD,debit
2024-11-15,Dropbox Subscription,-11.34,USD,debit
2024-11-16,Home Improvement,-345.27,USD,debit
2024-11-16,QuickBooks Subscription,-25.15,USD,debit
2024-11-17,Apple iCloud Subscription,-0.99,USD,debit
2024-11-18,PayPal Transfer,-30.85,USD,debit
2024-11-18,Bakery,-135.67,USD,debit
2024-11-18,Tax Refund,-234.1,USD,debit
2024-11-19,Shoe Outlet,-288.39,USD,debit
2024-11-19,Book Store REFUND,131.08,USD,credit
2024-11-20,Pharmacy Express,-193.95,USD,debit
2024-11-21,Dental Clinic,-337.53,USD,debit
2024-11-21,Uber Trip,-106.65,USD,debit
2024-11-21,Disney+ Subscription,-13.79,USD,debit
2024-11-21,NordVPN Subscription,-10.17,USD,debit
2024-11-22,Electronics Hub,-218.93,USD,debit
2024-11-22,Garden Center,-245.38,USD,debit
2024-11-22,Hotel Booking,-335.42,USD,debit
2024-11-23,Burger King,-97.27,USD,debit
2024-11-23,Proton VPN Subscription,-5.76,USD,debit
2024-11-23,Thrift Store,-137.5,USD,debit
2024-11-26,Train Ticket,-158.31,USD,debit
2024-11-26,Internet Payment,-135.84,USD,debit
2024-11-28,Subway,-121.09,USD,debit
2024-11-28,Train Ticket,-130.84,USD,debit
2024-11-28,Mobile Recharge,-102.74,USD,debit
2024-11-29,Shell Gas Station,-86.33,USD,debit
2024-11-29,Insurance Premium,-306.72,USD,debit
2024-11-30,IKEA,-312.06,USD,debit
2024-12-01,Chegg Subscription,-14.49,USD,debit
2024-12-01,Water Bill REFUND,26.17,USD,credit
2024-12-01,Liquor Store,-241.28,USD,debit
2024-12-02,Tax Refund,-19.92,USD,debit
2024-12-02,Target,-322.84,USD,debit
2024-12-02,Bakery,-251.99,USD,debit
2024-12-04,Apple Store,-20.99,USD,debit
2024-12-05,Water Bill,-256.83,USD,debit
2024-12-05,Train Ticket,-173.7,USD,debit
2024-12-06,Apple Store,-89.2,USD,debit
2024-12-07,Electric Bill,-94.84,USD,debit
2024-12-07,PayPal Transfer,-128.9,USD,debit
2024-12-07,Insurance Premium,-188.61,USD,debit
2024-12-08,Local Diner,-314.36,USD,debit
2024-12-08,Duolingo Plus Subscription,-7.93,USD,debit
2024-12-08,Lottery,-203.48,USD,debit
2024-12-09,Apple TV+ Subscription,-11.37,USD,debit
2024-12-09,DAZN Subscription,-20.12,USD,debit
2024-12-09,IKEA,-62.65,USD,debit
2024-12-09,Domino's Pizza,-22.54,USD,debit
2024-12-10,Zoom Pro Subscription,-15.62,USD,debit
2024-12-10,QuickBooks Subscription,-24.52,USD,debit
2024-12-11,Dropbox Subscription,-12.76,USD,debit
2024-12-11,Prime Video Subscription,-15.3,USD,debit
2024-12-12,Washington Post Subscription,-8.27,USD,debit
2024-12-13,Garden Center,-200.14,USD,debit
2024-12-14,Government Fees,-257.86,USD,debit
2024-12-14,Venmo Payment,-327.93,USD,debit
2024-12-14,Parking Fine,-260.59,USD,debit
2024-12-15,Bakery,-263.15,USD,debit
2024-12-15,Dental Clinic,-329.23,USD,debit
2024-12-15,ESPN+ Subscription,-10.63,USD,debit
