date,description,amount,currency,type
2024-10-01,Venmo Payment,-134.12,USD,debit
2024-10-01,Chevron Gas,-268.44,USD,debit
2024-10-01,Thrift Store,-346.29,USD,debit
2024-10-02,Best Buy,-49.51,USD,debit
2024-10-03,Garden Center REFUND,85.38,USD,credit
2024-10-03,Lyft Ride,-56.21,USD,debit
2024-10-04,Charity Donation,-272.05,USD,debit
2024-10-05,Spotify Refund,-120.27,USD,debit
2024-10-06,Chevron Gas,-307.55,USD,debit
2024-10-07,IKEA,-288.79,USD,debit
2024-10-07,Uber Trip,-62.34,USD,debit
2024-10-08,Gym Day Pass,-97.69,USD,debit
2024-10-09,Book Store,-29.96,USD,debit
2024-10-09,Starbucks,-206.07,USD,debit
2024-10-10,Mobile Recharge,-313.58,USD,debit
2024-10-11,Gas Station,-301.85,USD,debit
2024-10-11,Butcher Shop,-273.18,USD,debit
2024-10-11,Toy Shop,-74.35,USD,debit
2024-10-12,Thrift Store,-62.94,USD,debit
2024-10-12,Hotel Booking,-313.44,USD,debit
2024-10-13,Flight Ticket REFUND,30.22,USD,credit
2024-10-13,Electronics Hub,-165.75,USD,debit
2024-10-14,Train Ticket,-190.42,USD,debit
2024-10-14,Shoe Outlet,-310.24,USD,debit
2024-10-15,Apple Store,-178.82,USD,debit
2024-10-15,Gas Station,-285.66,USD,debit
2024-10-15,Walmart,-230.91,USD,debit
2024-10-16,Hardware Depot,-129.11,USD,debit
2024-10-16,KFC,-169.19,USD,debit
2024-10-17,Cinema City,-275.92,USD,debit
2024-10-19,PayPal Transfer,-348.54,USD,debit
2024-10-20,Chevron Gas,-315.85,USD,debit
2024-10-21,Shell Gas Station,-137.95,USD,debit
2024-10-23,Pharmacy Express,-71.28,USD,debit
2024-10-25,Venmo Payment,-220.88,USD,debit
2024-10-25,Car Wash,-175.98,USD,debit
2024-10-25,Farmers Market REFUND,22.8,USD,credit
2024-10-26,Gas Station,-80.95,USD,debit
2024-10-26,Gas Station,-80.95,USD,debit
2024-10-27,Water Bill,-225.65,USD,debit
2024-10-27,Bakery,-80.76,USD,debit
2024-10-28,McDonald's,-315.94,USD,debit
2024-10-28,Train Ticket,-132.59,USD,debit
2024-10-29,Home Improvement REFUND,60.66,USD,credit
2024-10-29,Target,-180.69,USD,debit
2024-10-30,Amazon Marketplace,-55.16,USD,debit
2024-10-31,Bitbucket Subscription,-3.47,USD,debit
2024-11-01,Flight Ticket,-224.83,USD,debit
2024-11-01,IKEA,-281.87,USD,debit
2024-11-02,Amazon Marketplace,-264.59,USD,debit
2024-11-02,Convenience Store,-36.64,USD,debit
2024-11-03,Convenience Store REFUND,41.45,USD,credit
2024-11-03,Shell Gas Station,-151.0,USD,debit
2024-11-04,Charity Donation,-88.82,USD,debit
2024-11-04,Train Ticket,-262.82,USD,debit
2024-11-04,ESPN+ Subscription,-10.9,USD,debit
2024-11-05,Chevron Gas,-7.15,USD,debit
2024-11-05,Lyft Ride,-145.42,USD,debit
2024-11-05,Bakery,-196.92,USD,debit
2024-11-05,Dropbox Subscription,-12.57,USD,debit
2024-11-06,Rocket Money Subscription,-6.42,USD,debit
2024-11-07,Peacock Subscription,-7.9,USD,debit
2024-11-08,Skillshare Subscription,-11.52,USD,debit
2024-11-09,Paramount+ Subscription,-9.53,USD,debit
2024-11-10,Liquor Store,-295.87,USD,debit
2024-11-10,Hardware Depot,-194.15,USD,debit
2024-11-12,Government Fees,-268.71,USD,debit
2024-11-13,Flight Ticket REFUND,115.73,USD,credit
2024-11-13,Bakery,-35.0,USD,debit
2024-11-13,Shoe Outlet,-205.15,USD,debit
2024-11-15,Garden Center REFUND,81.7,USD,credit
2024-11-15,Tax Refund,-177.02,USD,debit
2024-11-16,Pet Store,-69.62,USD,debit
2024-11-16,Garden Center REFUND,68.48,USD,credit
2024-11-17,Best Buy,-167.56,USD,debit
2024-11-18,Pet Store,-108.78,USD,debit
2024-11-18,Convenience Store REFUND,49.02,USD,credit
2024-11-19,Domino's Pizza,-76.41,USD,debit
2024-11-19,Venmo Payment,-132.24,USD,debit
2024-11-21,Credit Card Payment,-143.87,USD,debit
2024-11-21,Hardware Depot,-172.0,USD,debit
2024-11-22,Grammarly Subscription,-30.09,USD,debit
2024-11-22,Insurance Premium,-331.71,USD,debit
2024-11-22,Book Store,-9.7,USD,debit
2024-11-22,Book Store,-9.7,USD,debit
2024-11-23,Toy Shop,-324.11,USD,debit
2024-11-23,Pharmacy Express REFUND,77.51,USD,credit
2024-11-23,Hardware Depot,-128.92,USD,debit
2024-11-24,Xbox Game Pass Subscription,-14.65,USD,debit
2024-11-25,Spotify Refund,-122.25,USD,debit
2024-11-27,Grocery Store REFUND,15.65,USD,credit
2024-11-27,Amazon Marketplace,-192.49,USD,debit
