date,description,amount,currency,type
2025-04-01,Shell Gas Station,-247.45,USD,debit
2025-04-01,Home Improvement,-241.87,USD,debit
2025-04-01,Water Bill,-106.03,USD,debit
2025-04-02,Venmo Payment,-79.66,USD,debit
2025-04-02,Venmo Payment,-293.45,USD,debit
2025-04-03,Pet Store,-183.56,USD,debit
2025-04-03,Government Fees,-325.12,USD,debit
2025-04-03,Chevron Gas,-9.56,USD,debit
2025-04-04,Fish Market,-283.39,USD,debit
2025-04-05,Farmers Market,-296.1,USD,debit
2025-04-05,Grocery Store,-211.31,USD,debit
2025-04-06,Gas Station,-150.51,USD,debit
2025-04-06,Amazon Marketplace,-251.53,USD,debit
2025-04-06,Local Diner,-42.49,USD,debit
2025-04-07,Grocery Store,-97.65,USD,debit
2025-04-07,Venmo Payment,-84.64,USD,debit
2025-04-07,Toy Shop,-17.22,USD,debit
2025-04-08,Target,-310.55,USD,debit
2025-04-08,Amazon Refund,-201.21,USD,debit
2025-04-09,PayPal Transfer,-71.11,USD,debit
2025-04-09,Pet Store,-48.61,USD,debit
2025-04-10,Garden Center,-99.56,USD,debit
2025-04-10,Convenience Store,-250.54,USD,debit
2025-04-10,Amazon Marketplace,-50.48,USD,debit
2025-04-11,Car Wash,-210.9,USD,debit
2025-04-11,Shoe Outlet,-176.16,USD,debit
2025-04-11,Convenience Store,-162.72,USD,debit
2025-04-12,Car Wash,-95.11,USD,debit
2025-04-12,Domino's Pizza,-250.54,USD,debit
2025-04-13,Spotify Refund,-344.99,USD,debit
2025-04-13,Uber Trip,-137.2,USD,debit
2025-04-14,Electric Bill,-48.45,USD,debit
2025-04-16,Amazon Marketplace,-22.5,USD,debit
2025-04-18,Starbucks,-333.82,USD,debit
2025-04-19,Parking Fine,-180.69,USD,debit
2025-04-20,Water Bill,-228.51,USD,debit
2025-04-20,Book Store,-337.07,USD,debit
2025-04-20,Venmo Payment,-40.9,USD,debit
2025-04-21,Dental Clinic,-296.82,USD,debit
2025-04-21,Charity Donation,-185.42,USD,debit
2025-04-24,Domino's Pizza,-317.66,USD,debit
2025-04-25,Government Fees,-266.46,USD,debit
2025-04-25,Water Bill,-169.53,USD,debit
2025-04-25,Apple Store,-147.1,USD,debit
2025-04-26,Internet Payment,-63.71,USD,debit
2025-04-27,Target,-51.56,USD,debit
2025-04-29,Car Wash,-290.33,USD,debit
2025-04-29,Butcher Shop,-327.15,USD,debit
2025-04-30,McDonald's,-35.81,USD,debit
2025-04-30,Medical Center,-68.6,USD,debit
2025-05-01,Headspace Subscription,-8.79,USD,debit
2025-05-03,Burger King,-65.93,USD,debit
2025-05-03,Bakery,-214.78,USD,debit
2025-05-03,Venmo Payment,-277.66,USD,debit
2025-05-04,Walmart+ Subscription,-12.71,USD,debit
