date,description,amount,currency,type
2025-04-02,Local Diner,-63.82,USD,debit
2025-04-02,Government Fees,-255.66,USD,debit
2025-04-03,Farmers Market,-316.0,USD,debit
2025-04-04,Water Bill,-286.01,USD,debit
2025-04-04,Fish Market REFUND,102.83,USD,credit
2025-04-06,Shoe Outlet,-60.61,USD,debit
2025-04-06,Electronics Hub,-216.97,USD,debit
2025-04-06,ATM Withdrawal,-117.19,USD,debit
2025-04-09,Train Ticket,-184.43,USD,debit
2025-04-10,Pet Store,-11.64,USD,debit
2025-04-10,Credit Card Payment,-241.99,USD,debit
2025-04-10,Pharmacy Express,-80.12,USD,debit
2025-04-11,Garden Center,-295.01,USD,debit
2025-04-11,Chevron Gas,-84.84,USD,debit
2025-04-12,Gym Day Pass,-176.13,USD,debit
2025-04-13,Parking Fine,-112.15,USD,debit
2025-04-14,Burger King,-168.81,USD,debit
2025-04-14,ATM Withdrawal,-72.91,USD,debit
2025-04-14,Garden Center,-232.4,USD,debit
2025-04-16,Gym Day Pass,-189.05,USD,debit
2025-04-16,Hardware Depot,-51.99,USD,debit
2025-04-16,Subway,-49.33,USD,debit
2025-04-17,Medical Center,-86.84,USD,debit
2025-04-17,Venmo Payment,-173.89,USD,debit
2025-04-17,Butcher Shop,-79.93,USD,debit
2025-04-18,Farmers Market,-141.69,USD,debit
2025-04-19,Pet Store,-210.01,USD,debit
2025-04-20,Subway,-46.23,USD,debit
2025-04-21,Spotify Refund,-327.45,USD,debit
2025-04-22,Walmart REFUND,66.0,USD,credit
2025-04-22,Mobile Recharge,-248.04,USD,debit
2025-04-22,Medical Center REFUND,11.82,USD,credit
2025-04-23,Gym Day Pass,-192.86,USD,debit
2025-04-23,Garden Center,-101.91,USD,debit
2025-04-24,Movie Tickets,-300.3,USD,debit
2025-04-24,Apple Store,-132.56,USD,debit
2025-04-25,Starbucks REFUND,51.05,USD,credit
2025-04-27,Credit Card Payment,-100.29,USD,debit
2025-04-27,Gym Day Pass,-278.43,USD,debit
2025-04-28,Pet Store,-77.86,USD,debit
2025-04-28,Gym Day Pass,-347.92,USD,debit
2025-04-29,Government Fees,-338.44,USD,debit
2025-05-01,Venmo Payment,-342.9,USD,debit
2025-05-01,Pet Store,-89.49,USD,debit
2025-05-01,Uber Trip,-97.99,USD,debit
2025-05-02,Grocery Store,-54.26,USD,debit
2025-05-04,IDrive Subscription,-6.69,USD,debit
2025-05-04,Butcher Shop,-231.3,USD,debit
2025-05-04,Convenience Store,-282.13,USD,debit
2025-05-04,Parking Fine,-288.69,USD,debit
2025-05-05,Train Ticket,-10.24,USD,debit
2025-05-05,Pharmacy Express,-262.61,USD,debit
2025-05-05,Mobile Recharge,-235.15,USD,debit
2025-05-06,Electronics Hub,-97.88,USD,debit
2025-05-06,Gas Station,-271.33,USD,debit
2025-05-08,Apple Music Subscription,-11.07,USD,debit
2025-05-09,Pet Store,-234.12,USD,debit
2025-05-09,Amazon Refund,-24.82,USD,debit
2025-05-09,Starbucks,-210.49,USD,debit
2025-05-10,Local Diner,-224.12,USD,debit
2025-05-10,Proton Mail Subscription,-5.92,USD,debit
2025-05-11,Heroku Subscription,-7.33,USD,debit
2025-05-11,Thrift Store,-164.63,USD,debit
2025-05-12,Farmers Market,-284.02,USD,debit
2025-05-12,Target REFUND,44.08,USD,credit
2025-05-13,Notion Subscription,-7.67,USD,debit
2025-05-13,Train Ticket,-140.09,USD,debit
2025-05-13,Government Fees,-266.48,USD,debit
2025-05-13,Fish Market,-132.46,USD,debit
2025-05-13,Grammarly Subscription,-29.86,USD,debit
2025-05-14,GitHub Subscription,-4.98,USD,debit
2025-05-16,Parking Fine,-318.53,USD,debit
2025-05-17,Pet Store,-329.36,USD,debit
2025-05-17,Thrift Store,-223.2,USD,debit
2025-05-18,Calm Subscription,-5.94,USD,debit
2025-05-18,Shoe Outlet,-70.26,USD,debit
2025-05-18,LinkedIn Learning Subscription,-29.9,USD,debit
2025-05-19,Butcher Shop,-117.29,USD,debit
2025-05-19,Movie Tickets,-45.39,USD,debit
2025-05-19,Best Buy,-161.11,USD,debit
2025-05-19,Asana Subscription,-13.2,USD,debit
2025-05-19,Claude Pro Subscription,-20.31,USD,debit
2025-05-20,Lottery REFUND,34.18,USD,credit
2025-05-20,Cinema City,-172.42,USD,debit
2025-05-20,Render Subscription,-9.78,USD,debit
2025-05-22,Internet Payment,-52.77,USD,debit
2025-05-22,Toy Shop,-82.78,USD,debit
2025-05-22,Microsoft 365 Subscription,-6.38,USD,debit
2025-05-23,Coursera Plus Subscription,-40.97,USD,debit
2025-05-23,Pet Store,-49.91,USD,debit
2025-05-23,Burger King,-146.15,USD,debit
2025-05-23,Pet Store,-289.03,USD,debit
2025-05-24,Domino's Pizza,-214.78,USD,debit
2025-05-24,Chevron Gas,-222.33,USD,debit
2025-05-24,Grocery Store,-65.73,USD,debit
2025-05-26,Paramount+ Subscription,-10.75,USD,debit
2025-05-27,Convenience Store,-273.05,USD,debit
2025-05-27,Gym Day Pass,-260.22,USD,debit
2025-05-27,IKEA,-236.19,USD,debit
2025-05-28,Liquor Store,-49.75,USD,debit
2025-05-29,Train Ticket,-232.16,USD,debit
2025-05-30,Target REFUND,94.6,USD,credit
2025-05-31,Lyft Ride,-314.46,USD,debit
2025-05-31,Domino's Pizza,-89.4,USD,debit
2025-06-02,Home Improvement,-156.65,USD,debit
2025-06-02,Hardware Depot,-201.53,USD,debit
2025-06-02,Apple Music Subscription,-11.83,USD,debit
2025-06-02,Parking Fine,-229.57,USD,debit
2025-06-03,Butcher Shop,-282.69,USD,debit
2025-06-04,Proton Mail Subscription,-5.21,USD,debit
2025-06-04,Hotel Booking,-228.2,USD,debit
2025-06-04,Hotel Booking,-169.42,USD,debit
2025-06-06,IDrive Subscription,-7.64,USD,debit
2025-06-06,Uber Trip,-214.07,USD,debit
2025-06-07,McDonald's,-68.82,USD,debit
2025-06-07,Liquor Store,-247.49,USD,debit
2025-06-08,Gym Day Pass,-130.73,USD,debit
2025-06-08,Bakery,-190.52,USD,debit
2025-06-08,Government Fees,-46.74,USD,debit
2025-06-10,Heroku Subscription,-7.95,USD,debit
2025-06-10,KFC,-88.54,USD,debit
2025-06-11,Pet Store,-289.56,USD,debit
2025-06-11,Subway,-73.19,USD,debit
2025-06-12,Government Fees,-185.89,USD,debit
2025-06-12,Target,-22.64,USD,debit
2025-06-13,Hardware Depot,-302.76,USD,debit
